country,aqua_type,year,hectares,tons
bangladesh,total,2016,833752,2333352
bangladesh,pond,2016,384700,1833118
bangladesh,seasonal water body,2016,136273,215547
bangladesh,baor,2016,5488,8002
bangladesh,shrimp farm,2016,272717,246406
bangladesh,pen ,2016,7564,13368
bangladesh,cage,2016,11,2490
bangladesh,total,2015,795831,2203554
bangladesh,pond,2015,372405,1719783
bangladesh,seasonal water body,2015,134876,207658
bangladesh,baor,2015,5488,7729
bangladesh,shrimp farm,2015,275509,239798
bangladesh,pen,2015,7553,13364
bangladesh,cage,2015,11,2062
bangladesh,total,2014,794361,2060408
bangladesh,pond,2014,372397,1613240
bangladesh,seasonal water body,2014,133330,201280
bangladesh,baor,2014,5488,7267
bangladesh,shrimp farm,2014,275583,223582
bangladesh,pen,2014,7553,13070
bangladesh,cage,2014,10,1969
bangladesh,total,2013,789341,1956925
bangladesh,pond,2013,371309,1526160
bangladesh,seasonal water body,2013,130488,193303
bangladesh,baor,2013,5488,6514
bangladesh,shrimp farm,2013,275274,216447
bangladesh,pen,2013,6775,13054
bangladesh,cage,2013,7,1447
bangladesh,total,2012,782559,1859808
bangladesh,pond,2012,371309,1446594
bangladesh,seasonal water body,2012,130488,200833
bangladesh,baor,2012,5488,6146
bangladesh,shrimp farm,2012,275274,206235
bangladesh,total,2011,774055,1726067
bangladesh,pond,2011,371309,1342282
bangladesh,seasonal water body,2011,122026,182293
bangladesh,baor,2011,5488,5186
bangladesh,shrimp farm,2011,275232,196306
