location,lat,long
Beijing,39.913818,116.363625
Tianjin,39.003677,117.710777
Hebei,36.625656,114.538963
Shanxi,37.8735,112.5627
Inner Mongolia,40.8174,111.7663
Liaoning Province,41.8362,123.4314
Jilin,43.8965,125.3259
Heilongjiang,45.7424,126.6617
Shanghai,31.2304,121.4737
Jiangsu Province,32.377529,119.398018
Zhejiang,30.2674,120.1528
Anhui,NA,NA
Fujian Province,NA,NA
Jiangxi Province,NA,NA
Shandong,NA,NA
Henan,NA,NA
Hubei,NA,NA
Hunan,NA,NA
Guangdong,NA,NA
Guangxi,NA,NA
Sichuan Province,NA,NA
Wherein: Chongqing,NA,NA
Guizhou,NA,NA
Yunnan,NA,NA
Tibet,NA,NA
Shanxi Province,NA,NA
Gansu Province,NA,NA
Qinghai,NA,NA
Ningxia,NA,NA
Xinjiang,NA,NA
