X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
,,,,,,,,,,,
area,Mariculture production,1、鱼类 ,,,,,among them,,,,
,,,Striped bass,Flounder,Large yellow croaker,Cobia,Yellowtail,Red Drum,Puffer,Grouper,Plaice
Total country,"13,403,236 ","747,504 ","95,747 ","78,141 ","65,977 ","23,475 ","19,511 36,250 ","50,947 ","15,518 ","45,213 ","8,274 "
Tianjin,"14,082 ","1,592 ",6 ,775 ,,,25 ,20 ,88 ,85 ,150 
Hebei,"295,950 ","15,638 ","1,245 ","3,281 ",,,,30 ,"4,172 ",,
Liaoning Province,"2,020,980 ","31,093 ","1,142 ","14,508 ",,,430 ,154 ,"5,236 ",,370 
Shanghai,,,,,,,,,,,
Jiangsu Province,"674,414 ","31,198 ","1,115 ","2,230 ",,,49 ,,204 ,,
Zhejiang,"830,785 ","35,060 ","10,456 ",2 ,"3,317 ",,"3,153 ","8,054 ",19 ,153 ,60 
Fujian Province,"2,777,821 ","141,949 ","13,592 ","2,614 ","59,580 ",98 ,"4,582 14,887 ","9,229 ",846 ,"10,537 ",158 
Shandong,"3,613,510 ","173,681 ","20,622 ","54,294 ",214 ,,"2,585 ","2,018 ","4,380 ",465 ,"7,097 "
Guangdong,"2,229,773 ","256,680 ","38,600 ",437 ,"2,866 ","13,304 ","13,646 8,169 ","26,259 ",527 ,"20,808 ",439 
Guangxi,"775,866 ","23,239 ","6,606 ",,,189 ,"5,191 ","3,274 ",,"2,059 ",
Hainan,"170,055 ","37,374 ","2,363 ",,,"9,884 ","853 2,191 ","1,909 ",46 ,"11,106 ",
