province,aquaculture_type,year,hectares,ton,tons_per_ha
Aceh,brackish pond,2e3,NA,17620,NA
Aceh,brackish pond,2001,NA,13448,NA
Aceh,brackish pond,2002,NA,27449,NA
Aceh,brackish pond,2003,NA,33877,NA
Aceh,brackish pond,2004,NA,21376,NA
Aceh,brackish pond,2005,40292,12336,0.30616499553261195
Aceh,brackish pond,2006,36724,19596,0.5336020041389827
Aceh,brackish pond,2007,34078,26451,0.7761899172486648
Aceh,brackish pond,2008,40921,30936,0.7559932552967914
Aceh,brackish pond,2009,50254,25851,0.514406813387989
Aceh,brackish pond,2010,51519,31041,0.6025155767774996
Aceh,brackish pond,2011,49271,23405,0.47502587729090134
Aceh,brackish pond,2012,51696,27994,0.541511915815537
Aceh,brackish pond,2013,50527,32940,0.6519286717992361
Aceh,brackish pond,2014,50541,37721,0.7463445519479235
Aceh,brackish pond,2015,45999,42223,0.9179112589404117
Aceh,cage,2e3,NA,46,NA
Aceh,cage,2001,NA,3,NA
Aceh,cage,2002,NA,180,NA
Aceh,cage,2003,NA,1665,NA
Aceh,cage,2004,NA,1761,NA
Aceh,cage,2005,1,342,342
Aceh,cage,2006,1,27,27
Aceh,cage,2007,2,4,2
Aceh,cage,2008,1,128,128
Aceh,cage,2009,1,65,65
Aceh,cage,2010,0,143,Inf
Aceh,cage,2011,0,298,Inf
Aceh,cage,2012,2,223,111.5
Aceh,cage,2013,0,20,Inf
Aceh,cage,2014,NA,NA,NA
Aceh,cage,2015,NA,NA,NA
Aceh,floating cage,2e3,NA,NA,NA
Aceh,floating cage,2001,NA,NA,NA
Aceh,floating cage,2002,NA,NA,NA
Aceh,floating cage,2003,NA,NA,NA
Aceh,floating cage,2004,NA,NA,NA
Aceh,floating cage,2005,NA,NA,NA
Aceh,floating cage,2006,2,345,172.5
Aceh,floating cage,2007,7,479,68.42857142857143
Aceh,floating cage,2008,7,289,41.285714285714285
Aceh,floating cage,2009,7,200,28.571428571428573
Aceh,floating cage,2010,6,555,92.5
Aceh,floating cage,2011,4,271,67.75
Aceh,floating cage,2012,1,316,316
Aceh,floating cage,2013,5,480,96
Aceh,floating cage,2014,1,240,240
Aceh,floating cage,2015,1,300,300
Aceh,freshwater pond,2e3,NA,2e3,NA
Aceh,freshwater pond,2001,NA,2001,NA
Aceh,freshwater pond,2002,NA,2764,NA
Aceh,freshwater pond,2003,NA,7434,NA
Aceh,freshwater pond,2004,NA,9138,NA
Aceh,freshwater pond,2005,2588,8733,3.374420401854714
Aceh,freshwater pond,2006,2626,9016,3.4333587204874334
Aceh,freshwater pond,2007,3069,6305,2.054415118931248
Aceh,freshwater pond,2008,3391,9642,2.843409023886759
Aceh,freshwater pond,2009,3587,9839,2.742960691385559
Aceh,freshwater pond,2010,3706,14238,3.841878035617917
Aceh,freshwater pond,2011,3490,9224,2.6429799426934095
Aceh,freshwater pond,2012,2378,12391,5.210681244743482
Aceh,freshwater pond,2013,3500,12752,3.6434285714285712
Aceh,freshwater pond,2014,3501,18931,5.4073121965152815
Aceh,freshwater pond,2015,3133,18614,5.941270347909352
Aceh,marine culture,2e3,NA,NA,NA
Aceh,marine culture,2001,NA,NA,NA
Aceh,marine culture,2002,NA,NA,NA
Aceh,marine culture,2003,NA,NA,NA
Aceh,marine culture,2004,NA,NA,NA
Aceh,marine culture,2005,NA,NA,NA
Aceh,marine culture,2006,1,17,17
Aceh,marine culture,2007,NA,NA,NA
Aceh,marine culture,2008,NA,NA,NA
Aceh,marine culture,2009,1,36,36
Aceh,marine culture,2010,1,42,42
Aceh,marine culture,2011,1,164,164
Aceh,marine culture,2012,2,43,21.5
Aceh,marine culture,2013,1,84,84
Aceh,marine culture,2014,3,109,36.333333333333336
Aceh,marine culture,2015,4,158,39.5
Aceh,nets step,2e3,NA,NA,NA
Aceh,nets step,2001,NA,NA,NA
Aceh,nets step,2002,NA,NA,NA
Aceh,nets step,2003,NA,NA,NA
Aceh,nets step,2004,NA,NA,NA
Aceh,nets step,2005,NA,NA,NA
Aceh,nets step,2006,NA,NA,NA
Aceh,nets step,2007,NA,NA,NA
Aceh,nets step,2008,NA,NA,NA
Aceh,nets step,2009,NA,NA,NA
Aceh,nets step,2010,NA,NA,NA
Aceh,nets step,2011,NA,NA,NA
Aceh,nets step,2012,NA,NA,NA
Aceh,nets step,2013,NA,NA,NA
Aceh,nets step,2014,3,673,224.33333333333334
Aceh,nets step,2015,3,800,266.6666666666667
Aceh,paddy field,2e3,NA,2599,NA
Aceh,paddy field,2001,NA,2488,NA
Aceh,paddy field,2002,NA,2213,NA
Aceh,paddy field,2003,NA,2574,NA
Aceh,paddy field,2004,NA,3250,NA
Aceh,paddy field,2005,3359,3023,0.8999702292348913
Aceh,paddy field,2006,2478,3263,1.3167877320419694
Aceh,paddy field,2007,7e3,2428,0.34685714285714286
Aceh,paddy field,2008,2607,1829,0.7015726889144611
Aceh,paddy field,2009,2607,2058,0.7894131185270425
Aceh,paddy field,2010,2607,792,0.3037974683544304
Aceh,paddy field,2011,2309,1089,0.4716327414465136
Aceh,paddy field,2012,1171,591,0.5046968403074296
Aceh,paddy field,2013,1535,934,0.6084690553745928
Aceh,paddy field,2014,1600,1150,0.71875
Aceh,paddy field,2015,2972,1988,0.6689098250336474
Aceh,total,2e3,NA,113096,NA
Aceh,total,2001,NA,120831,NA
Aceh,total,2002,NA,120708,NA
Aceh,total,2003,NA,168917,NA
Aceh,total,2004,NA,35525,NA
Aceh,total,2005,46240,24434,0.528416955017301
Aceh,total,2006,41832,32265,0.7712994836488812
Aceh,total,2007,44156,35667,0.80774979617719
Aceh,total,2008,46927,42824,0.9125663264218893
Aceh,total,2009,56457,38048,0.6739288307915758
Aceh,total,2010,57840,46811,0.8093188105117566
Aceh,total,2011,55076,34451,0.6255174667731861
Aceh,total,2012,55249,41557,0.7521765099820811
Aceh,total,2013,55568,47209,0.8495716959401094
Aceh,total,2014,55648,58824,1.0570730304772857
Aceh,total,2015,52111,64082,1.2297211721133734
Bali,brackish pond,2e3,NA,1213,NA
Bali,brackish pond,2001,NA,1676,NA
Bali,brackish pond,2002,NA,2094,NA
Bali,brackish pond,2003,NA,3926,NA
Bali,brackish pond,2004,NA,3541,NA
Bali,brackish pond,2005,564,2741,4.859929078014185
Bali,brackish pond,2006,392,2795,7.130102040816326
