province,aquaculture_type,units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aceh,marine culture,ton,,,,,-,-,17,-,-,36,42,164,43,84,109,158
Sumatera Utara,marine culture,ton,,,,,496,548,-,612,352,1.386,1.888,3.566,3.086,4.348,4.350,4.363
Sumatera Barat,marine culture,ton,,,,,120,126,40,34,34,60,13,79,833,335,243,268
Riau,marine culture,ton,,,,,7.488,26,59,5,4,-,11,3,2,5,401,619
Kepulauan Riau,marine culture,ton,,,,,-,-,-,-,-,-,-,-,-,,-,-
Jambi,marine culture,ton,,,,,-,-,-,-,316,357,392,-,421,23,-,-
Sumatera Selatan,marine culture,ton,,,,,-,-,-,-,669,-,-,248,5.164,779,24,1
Kepulauan Bangka Belitung,marine culture,ton,,,,,1.399,821,1.693,2.094,1.473,4.201,9.448,10.696,14.057,15.927,6.775,4.440
Bengkulu,marine culture,ton,,,,,31,24,31,24,62,712,746,4.585,10.142,7.142,1.088,1.964
Lampung,marine culture,ton,,,,,-,4.856,903,4.805,4.623,4.651,16.477,4.682,-,,15.358,19.044
DKI Jakarta,marine culture,ton,,,,,1.093,1.909,1.457,1.345,1.530,1.234,35.281,26.726,3.071,2.517,4.066,2.464
Jawa Barat,marine culture,ton,,,,,10.000,10.089,10.337,10.570,11.523,8.423,14.707,7.934,3.726,1.528,1.015,3.964
Jawa Tengah,marine culture,ton,,,,,-,25.984,2.532,1.854,2.249,2.934,4.809,5.737,6.604,14.211,42.413,22.785
DI Yogyakarta,marine culture,ton,,,,,-,-,-,-,-,-,-,-,-,,-,-
Jawa Timur,marine culture,ton,,,,,359,4.556,10.348,13.013,73.738,339.487,389.430,412.798,561.887,580.683,601.413,615.466
Banten,marine culture,ton,,,,,2.957,5.840,6.627,6.120,10.944,5.822,15.024,16.708,17.219,21.930,25.671,26.110
Bali,marine culture,ton,,,,,156.054,161.121,164.769,152.306,129.174,136.000,99.883,106.667,144.610,146.192,84.931,107.921
Nusa Tenggara Barat,marine culture,ton,,,,,39.048,36.425,60.691,75.656,86.622,147.604,163.287,278.107,451.482,599.742,749.659,921.540
Nusa Tenggara Timur,marine culture,ton,,,,,66.408,271.880,481.123,504.709,696.279,498.428,347.828,377.203,398.739,1.846.350,1.966.260,2.283.347
Kalimantan Barat,marine culture,ton,,,,,58,9.047,212,86,107,82,197,20,147,177,1.631,32
Kalimantan Tengah,marine culture,ton,,,,,-,-,-,36,30,31,300,149,230,88,339,364
Kalimantan Selatan,marine culture,ton,,,,,496,505,2.421,6.065,3.762,1.833,1.502,2.303,2.726,2.426,2.706,486
Kalimantan Timur,marine culture,ton,,,,,56,81,1.743,18.464,6.006,7.597,55.995,83.216,195.530,249.746,321.128,22.128
Kalimantan Utara,marine culture,ton,,,,,,,,,,,,,,,,311.038
Sulawesi Utara,marine culture,ton,,,,,7.705,7.739,6.630,4.502,4.827,8.347,48.546,103.544,159.642,174.052,301.876,339.578
Sulawesi Tengah,marine culture,ton,,,,,13.780,124.512,170.275,182.074,286.294,710.991,716.496,734.635,891.428,1.234.021,1.137.589,1.274.906
Sulawesi Selatan,marine culture,ton,,,,,20.141,201.406,406.474,415.727,461.593,627.383,815.777,1.024.310,1.480.791,1.661.417,2.087.873,2.411.918
Sulawesi Tenggara,marine culture,ton,,,,,84.544,12.359,26.076,82.322,124.858,186.616,353.431,588.745,640.334,918.245,956.495,916.313
Gorontalo,marine culture,ton,,,,,5.232,5.654,6.122,7.117,13.576,48.283,64.077,89.190,95.482,104.047,24.991,53.740
Sulawesi Barat,marine culture,ton,,,,,-,-,1.199,578,1.294,9.942,13.211,21.553,27.343,33.127,39.323,36.864
Maluku,marine culture,ton,,,,,2.892,265,3.352,17.533,37.066,52.339,275.193,610.712,476.175,586.106,496.004,712.609
Maluku Utara,marine culture,ton,,,,,524,834,714,1.080,1.480,2.289,49.878,65.093,121.135,98.312,103.213,41.592
Papua Barat,marine culture,ton,,,,,38,3.467,-,762,5.293,12.865,20.613,26.280,131,75.565,57.760,37.847
Papua,marine culture,ton,,,,,-,-,77,39,226,149,224,176,57.555,146,51,155
Indonesia,marine culture,ton,,,,,420.919,890.074,1.365.918,1.509.528,1.966.002,2.820.083,3.514.702,4.605.827,5.769.737,8.379.271,9.034.756,10.174.022
Aceh,brackish pond,ton,17.620,13.448,27.449,33.877,21.376,12.336,19.596,26.451,30.936,25.851,31.041,23.405,27.994,32.940,37.721,42.223
Sumatera Utara,brackish pond,ton,19.134,19.932,39.974,40.237,18.734,18.730,17.689,22.171,33.830,33.965,32.785,32.830,33.841,35.506,29.345,29.496
Sumatera Barat,brackish pond,ton,0,0,23.521,26.316,4,5,5,4,5,10,12,12,26,179,297,332
Riau,brackish pond,ton,617,423,19.396,24.055,6.161,741,245,507,839,964,2.371,2.120,662,329,311,135
Kepulauan Riau,brackish pond,ton,1.045,2.090,4.900,9.008,1.579,1.304,1.575,1.252,1.822,2.061,2.097,1.852,47.278,52.201,786,521
Jambi,brackish pond,ton,4.696,11.614,35.703,42.504,19.822,21.516,27.388,33.194,39.013,74.049,65.133,70.730,750,1.838,53.082,64.496
