province,type,metric,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aceh,marine culture,area_hectares,-,1,-,-,1,1,1,2,1,3,4
Sumatera Utara,marine culture,area_hectares,0,-,30,30,15,13,13,13,18,18,20
Sumatera Barat,marine culture,area_hectares,7,3,7,4,1,16,3,2,3,3,3
Riau,marine culture,area_hectares,3,3,324,2,-,0,0,0,0,10,30
Kepulauan Riau,marine culture,area_hectares,-,-,-,-,-,-,-,2,-,−,
Jambi,marine culture,area_hectares,-,-,-,0,2,3,-,100,-,−,−
Sumatera Selatan,marine culture,area_hectares,-,-,-,-,-,-,75,175,5,5,5
Kepulauan Bangka Belitung,marine culture,area_hectares,2,36,39,27,0,1.212,1.289,2.439,785,783,783
Bengkulu,marine culture,area_hectares,28,1,1,2,20,98,179,742,77,53,10
Lampung,marine culture,area_hectares,36,101,1.059,93,135,2.107,2.213,-,2.605,3.832,3.865
DKI Jakarta,marine culture,area_hectares,1,83,84,54,60,65,61,18,24,21,101
Jawa Barat,marine culture,area_hectares,4,437,774,411,26,24,46,757,157,30,23
Banten,marine culture,area_hectares,11,100,270,325,328,55,55,-,55,55,22
Jawa Tengah,marine culture,area_hectares,-,-,-,-,-,-,-,29,-,−,0
DI Yogyakarta,marine culture,area_hectares,41,75,84,134,1.138,1.138,1.535,78,134.832,129.518,130.63
Jawa Timur,marine culture,area_hectares,5,99,71,47,33,520,459,55,835,861,862
Bali,marine culture,area_hectares,403,788,619,730,730,742,780,801,997,458,533
Nusa Tenggara Barat,marine culture,area_hectares,255,1.9,5.827,2.106,2.279,13.056,15.661,19.903,15.622,16.904,13.444
Nusa Tenggara Timur,marine culture,area_hectares,300,5.866,7.822,4.893,5.206,6.16,6.481,6.854,9.796,10.776,11.014
Kalimantan Barat,marine culture,area_hectares,0,42,24,25,8,1,0,2,2,1,1
Kalimantan Tengah,marine culture,area_hectares,-,-,4,4,22,25,10,15,5,15,15
Kalimantan Selatan,marine culture,area_hectares,968,272,259,161,161,123,123,123,123,224,224
Kalimantan Timur,marine culture,area_hectares,26,90,492,266,378,4.909,6.503,6.318,7.661,8.285,1.953
Kalimantan Utara,marine culture,area_hectares,,,,,,,,,,,2.145
Sulawesi Utara,marine culture,area_hectares,125,125,78,82,818,956,1.352,1.574,2.859,1.588,1.68
Gorontalo,marine culture,area_hectares,828,3.47,4.012,4.26,9.946,15.345,18.698,1.559,24.369,24.574,31.564
Sulawesi Tengah,marine culture,area_hectares,59.061,59.239,60.11,61.268,14.347,26.453,36.283,26.951,41.534,44.822,48.088
Sulawesi Selatan,marine culture,area_hectares,149,605,731,11.491,4.838,24.667,26.748,35.094,27.268,26.928,12.975
Sulawesi Barat,marine culture,area_hectares,24,484,577,438,987,989,941,19.945,533,435,343
Sulawesi Tenggara,marine culture,area_hectares,-,218,319,642,708,840,1.459,519,1.551,1.91,2.476
Maluku,marine culture,area_hectares,30,319,315,133,129,16.256,46.464,49.985,51.977,7.382,17.125
