uid,keep,interaction,title,journal
WOS:000263227300001,0,exclusion,'Ghost nutrients' from fish farms are transferred up the food web by phytoplankton grazers,MARINE ECOLOGY PROGRESS SERIES
WOS:000263227300001,1,mpa,'Ghost nutrients' from fish farms are transferred up the food web by phytoplankton grazers,MARINE ECOLOGY PROGRESS SERIES
WOS:000263227300001,1,water,'Ghost nutrients' from fish farms are transferred up the food web by phytoplankton grazers,MARINE ECOLOGY PROGRESS SERIES
WOS:000253732300032,1,genetic,"""Escapes"" of eggs from farmed cod spawning in net pens: Recruitment to wild stocks",REVIEWS IN FISHERIES SCIENCE
WOS:000253732300032,1,enhancement,"""Escapes"" of eggs from farmed cod spawning in net pens: Recruitment to wild stocks",REVIEWS IN FISHERIES SCIENCE
WOS:000347175200001,0,water,\European sea bass genome and its variation provide insights into adaptation to euryhalinity and speciation,NATURE COMMUNICATIONS
WOS:000347175200001,1,genetic,\European sea bass genome and its variation provide insights into adaptation to euryhalinity and speciation,NATURE COMMUNICATIONS
WOS:000407410600005,1,genetic,"A 'machine learning' technique for discriminating captive-reared from wild Atlantic bluefin tuna, Thunnus thynnus (Osteichthyes: Scombridae), based on differential fin spine bone resorption",FISHERIES RESEARCH
WOS:000407410600005,0,enhancement,"A 'machine learning' technique for discriminating captive-reared from wild Atlantic bluefin tuna, Thunnus thynnus (Osteichthyes: Scombridae), based on differential fin spine bone resorption",FISHERIES RESEARCH
WOS:000398870700053,1,disease,A bead based multiplex immunoassay detects Piscine orthoreovirus specific antibodies in Atlantic salmon (Salmo salar),FISH & SHELLFISH IMMUNOLOGY
WOS:000306278500012,0,water,A biological risk assessment for an Atlantic salmon (Salmo salar) invasion in Alaskan waters,AQUATIC INVASIONS
WOS:000306278500012,0,disease,A biological risk assessment for an Atlantic salmon (Salmo salar) invasion in Alaskan waters,AQUATIC INVASIONS
WOS:000306278500012,1,genetic,A biological risk assessment for an Atlantic salmon (Salmo salar) invasion in Alaskan waters,AQUATIC INVASIONS
WOS:000228334500004,0,habitat,A brief history of aquatic resource use in medieval Europe,HELGOLAND MARINE RESEARCH
WOS:000228334500004,0,invasive,A brief history of aquatic resource use in medieval Europe,HELGOLAND MARINE RESEARCH
WOS:000405124200011,1,invasive,A brief overview of known introductions of non-native marine and coastal species into China,AQUATIC INVASIONS
WOS:000367700000016,0,exclusion,A case study for assessing fish traceability in Egyptian aquafeed formulations using pyrosequencing and metabarcoding,FISHERIES RESEARCH
WOS:000367700000016,1,feed,A case study for assessing fish traceability in Egyptian aquafeed formulations using pyrosequencing and metabarcoding,FISHERIES RESEARCH
WOS:000383305500001,1,feed,A changing marine sector in Australian coastal communities: An analysis of inter and intra sectoral industry connections and employment,OCEAN & COASTAL MANAGEMENT
WOS:000261051800006,0,exclusion,A combined AFLP and microsatellite linkage map and pilot comparative genomic analysis of European sea bass Dicentrarchus labrax L.,ANIMAL GENETICS
WOS:000372406200003,0,disease,"A common garden design reveals population-specific variability in potential impacts of hybridization between populations of farmed and wild Atlantic salmon, Salmo salar L.",EVOLUTIONARY APPLICATIONS
WOS:000372406200003,1,genetic,"A common garden design reveals population-specific variability in potential impacts of hybridization between populations of farmed and wild Atlantic salmon, Salmo salar L.",EVOLUTIONARY APPLICATIONS
WOS:000399397700042,0,exclusion,A comparative appraisal of the resilience of marine social-ecological systems to mass mortalities of bivalves,ECOLOGY AND SOCIETY
WOS:000399397700042,1,disease,A comparative appraisal of the resilience of marine social-ecological systems to mass mortalities of bivalves,ECOLOGY AND SOCIETY
WOS:A1992HM17400016,1,enhancement,A COMPARATIVE BIOCHEMICAL GENETIC-STUDY OF 3 POPULATIONS OF DOMESTICATED AND WILD AFRICAN CATFISH (CLARIAS-GARIEPINUS),COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY
WOS:000273630500004,0,disease,A comparative gene index for the white sturgeon Acipenser transmontanus,MARINE GENOMICS
WOS:000273630500004,1,enhancement,A comparative gene index for the white sturgeon Acipenser transmontanus,MARINE GENOMICS
WOS:000348345700019,1,habitat,"A comparative study of fish assemblages near aquaculture, artificial and natural habitats",JOURNAL OF OCEAN UNIVERSITY OF CHINA
WOS:000176764100023,1,habitat,A comparative study on morphological differences in the olfactory system of red sea bream (Pagrus major) and black sea bream (Acanthopagrus schlegeli) from wild and cultured stocks,AQUACULTURE
WOS:000176764100023,1,enhancement,A comparative study on morphological differences in the olfactory system of red sea bream (Pagrus major) and black sea bream (Acanthopagrus schlegeli) from wild and cultured stocks,AQUACULTURE
WOS:000358147500163,1,genetic,A Comparative Transcriptome Analysis between Wild and Albino Yellow Catfish (Pelteobagrus fulvidraco),PLOS ONE
WOS:000344565000001,1,feed,"A comparison of gene transcription profiles of domesticated and wild Atlantic salmon (Salmo salar L.) at early life stages, reared under controlled conditions",BMC GENOMICS
WOS:000344565000001,1,genetic,"A comparison of gene transcription profiles of domesticated and wild Atlantic salmon (Salmo salar L.) at early life stages, reared under controlled conditions",BMC GENOMICS
WOS:000344565000001,1,enhancement,"A comparison of gene transcription profiles of domesticated and wild Atlantic salmon (Salmo salar L.) at early life stages, reared under controlled conditions",BMC GENOMICS
WOS:A1992HG01900013,1,disease,A COMPARISON OF HIGHLY UNSATURATED FATTY-ACID LEVELS IN WILD AND FARMED EELS (ANGUILLA-ANGUILLA),COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY
WOS:A1992HG01900013,1,feed,A COMPARISON OF HIGHLY UNSATURATED FATTY-ACID LEVELS IN WILD AND FARMED EELS (ANGUILLA-ANGUILLA),COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY
WOS:000338631000080,1,disease,"A Comparison of Neutral and Immune Genetic Variation in Atlantic Salmon, Salmo salar L. in Chilean Aquaculture Facilities",PLOS ONE
WOS:000220315100004,1,disease,A comparison of sea louse (Lepeophtheirus salmonis) infection levels in farmed and wild Atlantic salmon (Salmo salar L.) stocks,AQUACULTURE
WOS:000182099100066,1,genetic,"A comparison of the swimming and cardiac performance of fanned and wild Atlantic salmon Salmo salar, before and after gamete stripping",AQUACULTURE
WOS:000182099100066,1,enhancement,"A comparison of the swimming and cardiac performance of fanned and wild Atlantic salmon Salmo salar, before and after gamete stripping",AQUACULTURE
WOS:000179987000002,1,water,"A comparison of trace element concentrations in cultured and wild carp (Cyprinus carpio) of Lake Kasumigaura, Japan",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY
WOS:A1997YC06400005,1,mpa,A comparison of traditional and modified inland artisanal aquaculture systems,AQUACULTURE RESEARCH
WOS:000384301600003,1,feed,A complete chitinolytic system in the atherinopsid pike silverside Chirostoma estor: gene expression and activities,JOURNAL OF FISH BIOLOGY
WOS:000325602200012,1,habitat,"A conservation plan for Atlantic salmon (Salmo salar) and anadromous brown trout (Salmo trutta) in a region with intensive industrial use of aquatic habitats, the Hardangerfjord, western Norway",MARINE BIOLOGY RESEARCH
WOS:000325602200012,1,water,"A conservation plan for Atlantic salmon (Salmo salar) and anadromous brown trout (Salmo trutta) in a region with intensive industrial use of aquatic habitats, the Hardangerfjord, western Norway",MARINE BIOLOGY RESEARCH
WOS:000325602200012,1,genetic,"A conservation plan for Atlantic salmon (Salmo salar) and anadromous brown trout (Salmo trutta) in a region with intensive industrial use of aquatic habitats, the Hardangerfjord, western Norway",MARINE BIOLOGY RESEARCH
WOS:000325602200012,1,enhancement,"A conservation plan for Atlantic salmon (Salmo salar) and anadromous brown trout (Salmo trutta) in a region with intensive industrial use of aquatic habitats, the Hardangerfjord, western Norway",MARINE BIOLOGY RESEARCH
WOS:000342030300014,1,enhancement,A Critical Assessment of Marine Aquarist Biodiversity Data and Commercial Aquaculture: Identifying Gaps in Culture Initiatives to Inform Local Fisheries Managers,PLOS ONE
WOS:000306473000009,1,mpa,A critical life stage of the Atlantic salmon Salmo salar: behaviour and survival during the smolt and initial post-smolt migration,JOURNAL OF FISH BIOLOGY
WOS:000306473000009,1,water,A critical life stage of the Atlantic salmon Salmo salar: behaviour and survival during the smolt and initial post-smolt migration,JOURNAL OF FISH BIOLOGY
WOS:000306473000009,1,disease,A critical life stage of the Atlantic salmon Salmo salar: behaviour and survival during the smolt and initial post-smolt migration,JOURNAL OF FISH BIOLOGY
WOS:000306473000009,1,genetic,A critical life stage of the Atlantic salmon Salmo salar: behaviour and survival during the smolt and initial post-smolt migration,JOURNAL OF FISH BIOLOGY
