country,aqua_type,units,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
PHILIPPINES,..BRACKISHWATER FISHPOND,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....BF - Milkfish,tons,139372,144076,141131,155593,180931,204862,195877,193738.4,200530.94,210652,211840.9,220567.1,219610.24,219977.16,218066.51,224934.08,231044.15,234478.2,227476.77,227814.69,241203.44,244365.59
PHILIPPINES,....BF - Tilapia,tons,4816,5942,5949,7828,8033,9383,8266,9366.1,9045.93,9986.7,11645.4,12155.51,14957.22,14920.58,13999.29,14194.26,14381.27,15213.36,18449.41,18377.84,17511.8,18401.64
PHILIPPINES,....BF - Tiger prawn,tons,76220,40079,36854,37906,40459,40698,35490,34996.88,35916.52,37720,38209.1,39825.11,45342.42,47829.69,48161.83,47494.68,48196.64,49466.92,47843.44,49527.33,49139.25,46067.64
PHILIPPINES,....BF - Mudcrab,tons,2440,3710,3996,4802,4945,4585,4726,4784.72,6217.87,6836.5,7782.21,9267.17,11618.17,13720.21,14436.45,15730.91,16359.63,15794,16159.73,16198.51,16856.49,18097.53
PHILIPPINES,....BF - Endeavor prawn,tons,1135,665,258,337,329,416,445,517.7,558.84,669.4,798.3,715.29,786.11,801.32,689.43,689.82,778.45,757.2,1150.63,950.34,635.76,644.03
PHILIPPINES,....BF - White shrimp,tons,709,687,741,1038,1014,1276,1541,1517.2,1470.7,1519.1,1646.7,2114.77,2070.03,2204.47,2076.5,1974.05,1878.6,1870.99,1826.66,1646.04,1673.69,1744.29
PHILIPPINES,....BF - Grouper,tons,559,496,20,6,16,39,28,53.4,49.1,75.6,59.3,75.93,40.55,45.69,35.47,18.94,20.15,26.33,14.86,22.32,20.18,17.76
PHILIPPINES,....BF - Siganid,tons,..,2,3,2,2,9,24,22.6,17.5,27,66.2,82.64,79.12,56.41,59.9,58.07,61.94,69.69,99.09,91.81,64.61,63.48
PHILIPPINES,....BF - Others,tons,..,12,..,..,..,..,..,2.4,41.1,110.4,115.3,790.37,1992.29,3294.12,5133.97,4367.2,5781.28,7787.01,7812.27,9000.12,10477.01,14391.28
PHILIPPINES,..BRACKISHWATER PEN,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....BP - Milkfish,tons,..,..,..,..,3192,3864,4383,4344.7,4388.3,4631.1,4600.7,5241.86,3985.38,3269.28,636.9,783.35,835.44,872.83,814.66,800.26,2022.9,2759.22
PHILIPPINES,....BP - Tilapia,tons,..,..,..,..,49,45,53,36.3,97.3,140.4,158.9,80.74,67.82,65.4,58.83,45.15,40.22,40.93,39.24,29.44,57.71,2.87
PHILIPPINES,....BP - Grouper,tons,..,..,..,..,..,..,..,..,..,..,..,0.02,0.06,0.59,0.15,0.32,..,..,..,..,..,0.05
PHILIPPINES,....BP - Siganid,tons,..,..,..,..,..,..,1,1,0.7,0.2,0.4,1.34,2.04,2.42,1.12,1.43,1.24,1.28,1.21,1.82,3.18,1.94
PHILIPPINES,....BP - Others,tons,..,..,..,..,..,..,..,0.1,13.2,15.33,9.64,13.65,11.55,12.04,6.08,1.5,0.94,0.75,0.45,0.7,2.39,1.18
PHILIPPINES,..BRACKISHWATER CAGE,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....BC - Milkfish,tons,..,..,..,240,2476,2868,3257,4890.2,4056.07,4622.9,4160.5,3302.17,2436.77,2073.45,740.56,652.92,634.89,816.86,799.4,959.17,822.73,701.86
PHILIPPINES,....BC - Tilapia,tons,..,..,..,..,9,71,74,134,115.9,184.4,167.83,185.82,175.1,112.93,76.67,89.37,105.97,116.82,123.94,153.08,94.12,133.51
PHILIPPINES,....BC - Grouper,tons,..,..,..,..,..,..,2,275,0.53,0.04,4.44,9.05,10.38,12.08,34.73,9.41,10.36,14.37,11.55,6.22,5.74,4.32
