year	production	growth_rate	perc_on_feeds	efcr	feed_used	species	type
2000	"7,184"	3.9	37	2	"5,316"	carps	fresh
2001	"7,730"	7.6	38	1.9	"5,581"	carps	fresh
2002	"8,105"	4.8	42	1.9	"6,468"	carps	fresh
2003	"8,467"	4.5	43	1.9	"6,917"	carps	fresh
2004	"8,195"	−3.2	44	1.9	"6,851"	carps	fresh
2005	"8,622"	5.2	45	1.8	"6,984"	carps	fresh
2006	"8,916"	3.4	46	1.8	"7,382"	carps	fresh
2007	"9,305"	4.4	47	1.8	"7,872"	carps	fresh
2008	"9,758"	4.9	48	1.8	"8,431"	carps	fresh
2009	"10,483"	7.4	49	1.8	"9,246"	carps	fresh
2010	"11,287"	7.7	50	1.8	"10,158"	carps	fresh
2011	"11,771"	4.3	51	1.7	"10,205"	carps	fresh
2012	"12,473"	6	52	1.7	"11,026"	carps	fresh
2015	"14,440"	5	55	1.7	"13,501"	carps	fresh
2020	"17,568"	4	60	1.6	"16,865"	carps	fresh
2025	"20,366"	3	65	1.6	"21,181"	carps	fresh
2000	"1,190"	14.7	75	1.9	"1,696"	tilapias	fresh
2001	"1,302"	9.4	76	1.9	"1,880"	tilapias	fresh
2002	"1,417"	8.2	77	1.8	"1,953"	tilapias	fresh
2003	"1,587"	12	78	1.8	"2,215"	tilapias	fresh
2004	"1,795"	13.1	79	1.8	"2,530"	tilapias	fresh
2005	"1,992"	11	80	1.8	"2,852"	tilapias	fresh
2006	"2,234"	12.1	81	1.7	"3,056"	tilapias	fresh
2007	"2,554"	14.3	82	1.7	"3,493"	tilapias	fresh
2008	"2,826"	10.6	83	1.7	"3,948"	tilapias	fresh
2009	"3,109"	10	84	1.7	"4,440"	tilapias	fresh
2010	"3,497"	10	85	1.7	"5,053"	tilapias	fresh
2011	"3,976"	13.7	86	1.7	"5,813"	tilapias	fresh
2012	"4,507"	13.3	87	1.7	"6,666"	tilapias	fresh
2015	"5,999"	10	90	1.7	"9,178"	tilapias	fresh
2020	"8,814"	8	95	1.6	"13,397"	tilapias	fresh
2025	"12,950"	8	100	1.6	"20,720"	tilapias	fresh
2000	529	−2.3	72	1.8	772	catfish	fresh
2001	559	5.6	73	1.8	794	catfish	fresh
2002	667	19.3	73	1.7	873	catfish	fresh
2003	"1,034"	55	74	1.7	"1,318"	catfish	fresh
2004	"1,269"	22.7	74	1.6	"1,523"	catfish	fresh
2005	"1,500"	18.2	75	1.6	"1,752"	catfish	fresh
2006	"1,792"	19.5	75	1.5	"1,908"	catfish	fresh
2007	"2,265"	26.4	76	1.5	"2,446"	catfish	fresh
2008	"2,816"	24.3	76	1.5	"3,041"	catfish	fresh
2009	"2,838"	0.8	77	1.5	"3,108"	catfish	fresh
2010	"3,205"	12.9	77	1.5	"3,509"	catfish	fresh
2011	"3,387"	5.7	78	1.4	"3,699"	catfish	fresh
2012	"3,909"	15.4	78	1.4	"4,269"	catfish	fresh
2015	"4,924"	8	80	1.4	"5,515"	catfish	fresh
2020	"6,589"	6	82	1.3	"7,024"	catfish	fresh
2025	"8,817"	6	85	1.3	"9,743"	catfish	fresh
2000	285	7.5	10	2	57	other fresh and diadromous	fresh
2001	244	–14.4	12	2	58	other fresh and diadromous	fresh
2002	291	19.3	14	2	81	other fresh and diadromous	fresh
2003	842	189.3	16	2	269	other fresh and diadromous	fresh
2004	948	12.6	18	2	341	other fresh and diadromous	fresh
2005	"1,064"	12.2	20	2	426	other fresh and diadromous	fresh
2006	"1,163"	9.3	22	2	512	other fresh and diadromous	fresh
2007	"1,331"	14.4	24	2	639	other fresh and diadromous	fresh
