"Area of water surface for the aquaculture by Area of water surface and Year"

"Area of water surface";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Prel. 2017"
"TOTAL";641.9;755.2;797.7;867.6;920.1;952.6;976.5;1018.8;1052.6;1044.7;1052.6;1040.5;1038.9;1046.4;1056.3;1057.3;1072.8;1105.2
"Area of marine aquaculture";..;..;..;..;..;..;..;..;..;..;47.4;45.3;46.6;43.8;40.7;40.8;46.0;48.1
"Area for fish";..;..;..;..;..;..;..;..;..;..;1.4;1.5;1.5;1.0;0.8;0.6;0.6;0.6
"Area for shrimp";..;..;..;..;..;..;..;..;..;..;4.8;4.8;4.8;3.3;3.1;4.3;3.4;2.5
"Area for mixed and other aquatic products";..;..;..;..;..;..;..;..;..;..;41.2;39.0;40.3;39.5;36.8;35.9;42.0;45.0
"Area of inland aquaculture";..;..;..;..;..;..;..;..;..;..;1002.0;991.9;989.0;999.0;1011.6;1012.1;1021.9;1051.7
"Brackish water:";396.6;502.0;555.8;612.5;641.9;660.6;682.7;711.1;713.5;704.5;687.8;689.7;691.4;693.1;703.5;704.4;709.6;731.9
"Area for fish'";50.0;24.7;14.3;13.1;11.2;10.1;17.2;24.4;21.5;23.2;33.8;32.0;32.1;31.1;27.8;27.2;20.1;16.1
"Area for shrimp,";324.1;454.9;509.6;574.9;598.0;528.3;612.1;633.4;629.3;623.3;632.8;638.3;638.0;641.8;656.7;662.1;678.0;704.7
"Area for mixed and other aquatic products'";22.5;22.4;31.9;24.5;32.7;122.2;53.4;53.3;62.7;58.0;21.2;19.4;21.3;20.2;19.0;15.1;11.5;11.1
"Area of fresh water:";244.0;251.2;239.3;252.4;274.9;288.2;290.1;302.8;335.1;336.5;314.2;302.2;297.6;305.9;308.1;307.7;312.3;319.8
" Area for fish";225.4;228.9;232.3;245.9;267.4;281.7;283.8;294.6;326.0;327.6;302.1;295.0;291.0;299.3;301.3;300.1;302.9;302.4
" Area for shrimp";16.4;21.8;6.6;5.5;6.4;4.9;4.6;5.4;6.9;6.6;7.1;4.8;4.0;5.0;5.5;6.3;8.5;16.4
" Area for mixed and other aquatic products";2.2;0.5;0.4;1.0;1.1;1.6;1.7;2.8;2.2;2.3;5.0;2.4;2.6;1.6;1.3;1.3;0.9;1.0
"Area of water for breeding";1.3;2.0;2.6;2.7;3.3;3.8;3.7;4.9;4.0;3.7;3.2;3.3;3.3;3.6;4.0;4.4;4.9;5.4
